
函数序号	功能	数据格式	寄存器1	寄存器2	寄存器3	寄存器4	寄存器5	寄存器6	寄存器7
1	movabs	IEE	X位置	Y位置	Z位置	Rx位置	Ry位置	Rz位置	speed
2	move	IEE	X位置	Y位置	Z位置	Rx位置	Ry位置	Rz位置	speed
3	抓取	bool	1	无	无	无	无	无	无
4	放下	bool	0	无	无	无	无	无	无
5	延时	int	125	无	无	无	无	无	无


机械手跑过的有效数据：

AI解析数据表	函数序号	寄存器1	寄存器2	寄存器3	寄存器4	寄存器5	寄存器6	寄存器7
归零	1（绝对位置移动）	1352	2	1300	2	95	3	10%
home	2（绝对位置移动）	1380	0	1350	0	83	0	10%
位置A	3（绝对位置移动）	1400	-1	1380	1	80	1	10%
位置B	4（绝对位置移动）	1410	-2	1385	2	78	3	10%
位置C	5（绝对位置移动）	1500	15	1400	1	75	1	10%
位置D	6（绝对位置移动）	1600	30	1450	10	50	20	10%
位置E	7（绝对位置移动）	1700	-30	1800	20	40	50	10%
位置X	8(相对位置移动）	5	5	5	1	1	1	10%
抓取	9	1	0	0	0	0	0	0
放下	10	0	0	0	0	0	0	0
延时	11	500	0	0	0	0	0	0
